article,ver.lang,category,name,length,radius,sidecut,plate,binding
315475,EN,FREESKI,KORE 99 Ti W,"156,163,170,177","15,6 @ Length 170",132/99/121 @ Length 170,,114597
315485,EN,FREESKI,KORE 93 Ti W,"149,156,163,170","14,7 @ Length 170",130/93/115 @ Length 170,,114596
315495,EN,FREESKI,KORE 87 Ti W,"149,156,163,170","14,6 @ Length 170",127/87/111 @ Length 170,,114596
315804,EN,FREESKI,Crux 105 Pro,"170,177,184","25,6 @ Length 184",133/105/122 @ Length 184,,114584
315814,EN,FREESKI,Crux 99 Pro,"163,170,177,184","22,7 @ Length 184",132/99/117 @ Length 184,,114584
315824,EN,FREESKI,Crux 93 Pro,"163,170,177,184","18,6 @ Length 177",130/93/113 @ Length 177,,114584
315834,EN,FREESKI,Crux 87 Pro,"149,156,163,170,177,184","17,7 @ Length 177",126/87/108 @ Length 177,,114583
315844,EN,FREESKI,Crux 81 Pro,"149,156,163,170,177,184","16,8 @ Length 177",124/81/105 @ Length 177,,114583
315904,EN,FREESKI,Crux 99,"163,170,177,184","22,7 @ Length 184",132/99/117 @ Length 184,,114590
315914,EN,FREESKI,Crux 93,"163,170,177,184","18,6 @ Length 177",130/93/113 @ Length 177,,114590
315924,EN,FREESKI,Crux 87,"149,156,163,170,177,184","17,7 @ Length 177",126/87/108 @ Length 177,,114589
315934,EN,FREESKI,Crux 81,"149,156,163,170,177,184","16,8 @ Length 177",124/81/105 @ Length 177,,114589
315565,EN,FREESKI,Oblivion 116,"181,189","30,8 @ Length 189",142/117/132 @ Length 189,,114631
315585,EN,FREESKI,Oblivion 102,"173,181,189","22,8 @ Length 181",135/102/125 @ Length 181,,114640
315514,EN,FREESKI,Oblivion 94,"163,170,177,184","22,8 @ Length 184",128/94/118 @ Length 184,,114639
315524,EN,FREESKI,Oblivion 84,"171,176,181","19,0 @ Length 176",120/84/109 @ Length 176,,114638
315544,EN,FREESKI,Oblivion 79,"154,163,172,181","19,1 @ Length 172",112/79/106 @ Length 172,,114638
313604,EN,FREESKI,Porsche 106 Series,"177,184","18,5 @ Length 184",135/106/127 @ Length 184,,114595
315625,EN,WOMEN,Total Joy,"148,153,158,163,168","14,7 @ Length 163",128/85/114 @ Length 163,"JOY ""BB"" SLR PRO Base",100914
315675,EN,WOMEN,Power Joy,"153,158,163,168,173","15,1 @ Length 163",113/70/98 @ Length 163,Better Balance PR Base,100927
315605,EN,WOMEN,Super Joy,"143,148,153,158,163,168","14,0 @ Length 163",120/75/106 @ Length 163,"JOY ""BB"" SLR PRO Base",100913
315685,EN,WOMEN,Absolut Joy,"143,148,153,158,163,168","14,8 @ Length 163",122/80/108 @ Length 163,"JOY ""BB"" SLR PRO Base",100953
315735,EN,WOMEN,Real Joy,"143,148,153,158,163","13,1 @ Length 163",121/75/107 @ Length 163,"JOY ""BB"" SLR PRO Base",100954
315705,EN,WOMEN,Pure Joy,"143,148,153,158,163","13,1 @ Length 163",121/75/107 @ Length 163,"JOY ""BB"" SLR PRO Base",100952
315655,EN,WOMEN,Easy Joy,"143,148,153,158,163","13,3 @ Length 163",117/70/103 @ Length 163,"JOY ""BB"" SLR PRO Base",100918
314005,EN,JUNIOR,WCR e.GS Rebel Team,"124,131,138,145,152,159,166,173","19,0 @ Length 164",104/65/88 @ Length 164,RACEPLATE WCR Team,100903
314005.172,EN,JUNIOR,WCR e.GS Rebel Team,"124,131,138,145,152,159,166,173","19,0 @ Length 164",104/65/88 @ Length 164,RACEPLATE WCR Team,100903
314005.116,EN,JUNIOR,WCR e.GS Rebel Team,"124,131,138,145,152,159,166,173","19,0 @ Length 164",104/65/88 @ Length 164,RACEPLATE WCR Team,100903
314235,EN,JUNIOR,WCR e.SL Rebel Team,"139,146,153,160","11,0 @ Length 146",112/64/96 @ Length 146,RACEPLATE WCR Team,100903
314235.132,EN,JUNIOR,WCR e.SL Rebel Team,132,"11,0 @ Length 146",112/64/96 @ Length 146,RACEPLATE WCR Team,100903
314235.118,EN,JUNIOR,WCR e.SL Rebel Team,"118,125","11,0 @ Length 146",112/64/96 @ Length 146,RACEPLATE WCR Team,100903
314025,EN,JUNIOR,KORE Team,"142,149,156,163","10,6 @ Length 149",123/84/107 @ Length 149,,114598
314035,EN,JUNIOR,Oblivion JR Pro,"149,157,165","17,3 @ Length 157",132/100/122 @ Length 157,,114603
314054,EN,JUNIOR,Oblivion JR,"131,141,151,161","11,8 @ Length 141",116/81/106 @ Length 141,,114606
314445,EN,JUNIOR,Worldcup e.Race Team JRS,"100,110,120,130,140,150,160","10,8 @ Length 140",111/67/95 @ Length 140,JRS Base,100922
314445.100,EN,JUNIOR,Worldcup e.Race Team JRS,"100,110,120,130,140,150,160","10,8 @ Length 140",111/67/95 @ Length 140,JRS Base,100922
314435,EN,JUNIOR,Worldcup e.Race Team,"120,130,140,150,160","10,8 @ Length 140",111/67/95 @ Length 140,JRS Base,100922
314435.100,EN,JUNIOR,Worldcup e.Race Team,"100,110,120,130,140,150,160","10,8 @ Length 140",111/67/95 @ Length 140,JRS Base,100922
314415,EN,JUNIOR,Supershape JRS,"110,120,130,140,150,160","9,7 @ Length 140",123/70/101 @ Length 140,JRS Base,100922
314535,EN,JUNIOR,Supershape Team Easy,"67,77,87,97,107,117,127,137,147,157","8,0 @ Length 127",111/67/96 @ Length 127,,114492
314535.67,EN,JUNIOR,Supershape Team Easy,"67,77,87,97,107,117,127,137,147,157","8,0 @ Length 127",111/67/96 @ Length 127,,114492
314505,EN,JUNIOR,Supershape Team Easy JRS,"67,77,87,97,107,117,127,137,147,157","8,0 @ Length 127",111/67/96 @ Length 127,JRS Base,100923
314505.67,EN,JUNIOR,Supershape Team Easy JRS,"67,77,87,97,107,117,127,137,147,157","8,0 @ Length 127",111/67/96 @ Length 127,JRS Base,100923
314575,EN,JUNIOR,Unicorn JRS,"67,77,87,97","6,5 @ Length 97",98/65/83 @ Length 97,JRS Base,114707
314455,EN,JUNIOR,Joy Easy JRS,"67,77,87,97,107,117,127,137,147","8,0 @ Length 127",111/67/96 @ Length 127,JRS Base,114478
314455.67,EN,JUNIOR,Joy Easy JRS,"67,77,87,97,107,117,127,137,147","8,0 @ Length 127",111/67/96 @ Length 127,JRS Base,114478
314485,EN,JUNIOR,Monster Easy JRS,"67,77,87,97,107,117,127,137,147,157","8,7 @ Length 127",111/67/96 @ Length 127,JRS Base,114703
314485.67,EN,JUNIOR,Monster Easy JRS,"67,77,87,97,107,117,127,137,147,157","8,0 @ Length 127",111/67/96 @ Length 127,JRS Base,114703
314465,EN,JUNIOR,Paw Patrol JRS,"67,77,87,97","6,5 @ Length 97",98/65/83 @ Length 97,JRS Base,114478
314494,EN,JUNIOR,Oblivion Team JRS,"87,97,107,117,127,137,147,157","9,4 @ Length 127",104/68/92 @ Length 127,JRS Base,114475
